pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
GO_EXTRACELLULAR_STRUCTURE_ORGANIZATION,1.0868053140432636e-6,0.004474377477916116,-0.4946288973602899,-1.745005289518375,0,216,"SERPINF2, ADAMTS3, MMP7, ITGAM, MMP1, COL13A1, PDGFB, MFAP2, MMP13, CREB3L1, COL3A1, VWF, SERPINE1, OLFML2A, COL5A1, VIT, COL8A1, SMOC2, SULF1, LTBP2, PXDN, VCAN, TLL1, COL9A2, TIMP2, MMP10, COL1A1, THSD4, MMP11, HTRA1, COL5A3, FN1, LOXL2, CTGF, FBN1, FBLN5, COL5A2, COL8A2, RECK, TLL2, SPARC, WNT3A, MMP16, NID1, SULF2, TGFBI, LCP1, LOXL1, ABI3BP, ADAM8, ITGA2B, COL16A1, NOXO1, CRISPLD2, FBN2, 
COL6A1, MFAP5, ITGB5, ITGA5, COL7A1, CCDC80, GAS6, LAMA2, AGRN, VWA1, CYR61, GSN, NPNT, HSPG2, MPV17, COL12A1, BGN, ICAM1, ADAMTS2, DDR1, COL4A1, MMP15, ITGA3, CDH1, SPP1, BMP1, CD47, TNC, TEX14, COL18A1, LAMC1, LAMC2, ADAMTSL4, ITGB6, ITGB8, MATN3, COL4A2, TIMP1, ITGA7, FLRT2, COL6A2, DAG1, ENG, CTSS, LAMB1, JAM3, FBLN1, LAMA3, CAPN1, LAMB2, ANXA2, THBS1, TNXB, COL4A6, ICAM5, ITGB2, POMT1, 
SERAC1, CAPN2, ILK, MYO1E, SNCA, MMP2, SPINK5"
GO_TRNA_PROCESSING,6.130869541227032e-6,0.009306478593064785,0.5400803594218052,2.158123959213835,0,103,"FBLL1, RPP40, TP53RK, TSEN15, SARS, TYW5, PUS1, RPP25, TRMT61A, QTRT1, AARS, PUS7, TRMT6, DUS3L, MOCS3, TRMT1, DUS4L, METTL2A, TYW1, RPUSD1, PUSL1, WDR4, TSEN2, NSUN2, ADAT3, CPSF4, SSB, YRDC, ADAT2, CTU1, LAGE3, TRIT1, GTPBP3, TPRKB, METTL2B, GRSF1, FDXACB1, OSGEP, TSEN54, RPUSD3, HSD17B10, UBA5, PUS3, ZBTB8OS, DUS1L, FBL, TRMT12, MTO1, POP7, RPP38, TRNT1, KARS, METTL1"
GO_CYTOPLASMIC_TRANSLATION,7.703952512836711e-6,0.009306478593064785,0.6535111852975937,2.2024435283835033,1,41,"EIF4EBP1, EIF3J, RPL22L1, EIF3M, MRTO4, GSPT2, SSB, EIF3D, MRPL2, RPL26, GSPT1, RPL6, RPL35A, EIF3B, DENR, RPLP0P6, CDC123, RPL7, RPLP1, RPLP0, RPL9, EIF3A, RPL7L1, RPL8, RPLP2, RPL36, FTSJ1, RPL26L1, MCTS1"
GO_TRNA_METABOLIC_PROCESS,9.04200009042e-6,0.009306478593064785,0.5308286053405071,2.2608519241755936,0,163,"WARS, FBLL1, RPP40, TP53RK, TSEN15, SARS, TYW5, MARS, MARS2, CARS, GARS, PUS1, YARS, RPP25, AIMP2, FARSB, TRMT61A, TARS, IARS, PSTK, QTRT1, AARS, EPRS, PUS7, CARS2, TRMT6, LARS, DUS3L, DTD1, EXOSC8, QRSL1, MOCS3, TRMT1, DUS4L, METTL2A, EXOSC3, TYW1, RPUSD1, NARS, PUSL1, WDR4, TSEN2, NSUN2, MRPL39, ADAT3, CPSF4, SSB, YRDC, LRRC47, AARSD1, ADAT2, EXOSC2, GTF3C3, CTU1, LAGE3, TRIT1, GTPBP3, 
TPRKB, METTL2B, GRSF1, GTF3C4, FDXACB1, OSGEP, TSEN54, RPUSD3, HSD17B10, UBA5, VARS, PUS3, ZBTB8OS, DARS, RARS, DUS1L, FBL, TRMT12, EEF1E1, MTO1, POP7, RPP38, TRNT1, KARS, METTL1"
GO_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS,1.1985473605989541e-5,0.0093485001413515,0.6201249144985639,2.131129710369066,2,45,"RPF2, MAK16, NOL9, RRS1, WDR12, RSL24D1, NOP16, PES1, NOC2L, NLE1, MRTO4, PPAN, SDAD1, EIF6, WDR74, EBNA1BP2, RPF1, RPL26, BRIX1, RPL24, RPL6, RPL35A, RPL14, RPL5, RPL10, RPL12, NSA2, RPL7, DDX28, MRPL20, RPL7L1, RPL38, MDN1, RPL35, FTSJ3, RPL26L1, WDR55, FASTKD2, RPL3, ZNF622, RPL11"
GO_RRNA_METABOLIC_PROCESS,1.4121700817646478e-5,0.0093485001413515,0.44267495708266763,1.9690644625178688,0,237,"FBLL1, RPP40, RPF2, MAK16, NOL9, NAF1, RRS1, RPP25, RRP9, WDR12, NOP14, EXOSC5, DKC1, TSR1, KRR1, DDX49, DDX21, PDCD11, NOP58, RCL1, PES1, EXOSC8, PWP2, ISG20L2, UTP15, MRTO4, NPM3, NOP56, RIOK1, NOC4L, UTP18, EXOSC3, NSUN5, NOLC1, DDX51, WDR75, SRFBP1, WDR3, NOP2, SENP3, NOB1, GAR1, EIF6, DCAF13, WDR36, UTP20, TFB2M, NOL6, PA2G4, NGDN, IMP4, RPS12, EBNA1BP2, MPHOSPH6, UTP6, RPL37A, PNO1, 
EXOSC2, RPF1, RPL26, RRP7A, BYSL, EXOSC4, RRP1, HEATR1, RPS6, DIS3L, EMG1, DDX27, RPL24, LTV1, FAU, RPL4, WDR46, FDXACB1, EXOSC1, RPS18, MRPS9, DHX37, RPS3A, CHD7, RPL6, DIS3L2, RPL13A, UTP14A, DDX56, RPL35A, RPL14, RPL5, RPL10, NOL8, TBL3, RPS5, SART1, RRP1B, RPL12, NSA2, FBL, NOL11, RPL10A, NSUN4, WDR43, YBEY, RPP38, RPL13, RPS23, RPS14, RPL21, DIS3, RPS16, RPL17, RPL7, RPLP1, RPS3, 
IMP3, RPLP0, RRP36, RPS21, RPL9, RPL27, GEMIN4, RPS15A, RIOK2, ERI1, PELP1, RPS2, RPL7L1, RPL8, RPL41, RPL38, CSNK1D, RPS9, RPLP2, RPL36, RPL35, RIOK3, TEX10, RPL7A, RPL19, NHP2, RPL30, RPS13, RPS24, FTSJ3, METTL16, NAT10, RPL26L1, WDR55, FCF1, UBA52, BMS1, RPL18, RPL34, RPL39, RPL37, WDR18, RPL3, DIMT1, RPSA, XRN2, EXOSC6, SBDS, RPL28, RPS8, MPHOSPH10, RPS19"
GO_EAR_DEVELOPMENT,1.5894948017843214e-5,0.0093485001413515,-0.5142309945636633,-1.758592110336823,13,151,"CTHRC1, FRZB, PAX8, ZIC1, GSC, FAT4, MAF, CXCL14, TGFB3, PDGFRB, NOG, SALL1, LGR5, PDZD7, ATP6V1B1, BMPER, ATP8A2, EYA1, FZD2, TMC1, CDH23, ZEB1, MYO7A, FREM2, SPARC, KCNK3, WNT3A, GBX2, OSR1, BMP4, INSIG1, EPHB2, NKX3-2, TWIST1, SHROOM2, STRA6, NTN1, NAGLU, KCNK2, MPV17, DDR1, ALDH1A3, ECE1, MAPK3, SDC4, USH1G, ROR2, KCNQ1, BMP2, FGFR2, ABR, DUOX2, MCOLN3, GLI3, GATA2, SIX2"
GO_RIBOSOME_BIOGENESIS,1.819273382211145e-5,0.009362435643204105,0.4817282524073311,2.1812399521141215,0,282,"FBLL1, RPP40, RPF2, MAK16, NOL9, NAF1, RRS1, RPP25, RRP9, WDR12, NUP88, NOP14, EXOSC5, DKC1, TSR1, KRR1, DDX49, DDX21, GTPBP10, RSL24D1, PDCD11, NOP16, NOP58, SETD4, RCL1, PES1, NOC2L, NVL, NLE1, EXOSC8, PWP2, ISG20L2, UTP15, MRTO4, NPM1, PPAN, NPM3, NOP56, RIOK1, MPV17L2, NIP7, NOC4L, UTP18, SDAD1, EXOSC3, NSUN5, NOLC1, DDX51, WDR75, SRFBP1, WDR3, NOP2, SENP3, NOB1, GAR1, EIF6, DCAF13, 
WDR36, UTP20, TFB2M, NOL6, PA2G4, NGDN, DDX31, IMP4, RPS12, WDR74, EBNA1BP2, MPHOSPH6, RRN3, UTP6, C1QBP, ZNHIT6, RPL37A, PNO1, EXOSC2, RPF1, RPL26, MTG1, MRPL36, RRP7A, BYSL, GNL3, EXOSC4, LSG1, BRIX1, RRP1, HEATR1, RPS6, GTPBP4, DIS3L, EMG1, DDX27, RPL24, LTV1, FAU, RPL4, WDR46, FDXACB1, EXOSC1, RPS18, MRPS9, DHX37, RPS3A, CHD7, RPL6, DIS3L2, RPL13A, UTP14A, DDX56, RPL35A, RPL14, RPL5, 
RPL10, NOL8, TBL3, RPS5, SART1, RRP1B, RPL12, NSA2, FBL, SURF6, NOL11, RPL10A, NSUN4, WDR43, YBEY, RPP38, RPLP0P6, RPL13, RPS23, RPS14, RPL21, DIS3, RPS16, RPL17, RPL7, DDX28, RPLP1, MRPL20, RPS3, IMP3, RPLP0, RRP36, RPS21, RPL9, RPL27, GEMIN4, RPS15A, RIOK2, ERI1, PELP1, RPS2, RPL7L1, RPL8, RPL41, RPL38, CSNK1D, MDN1, RPS9, RPLP2, RPL36, RPL35, RIOK3, TEX10, RPL7A, RPL19, NHP2, RPL30, 
RPS13, RPS24, FTSJ3, METTL16, NAT10, NOM1, RPL26L1, WDR55, FCF1, UBA52, GNL1, BMS1, FASTKD2, RPL18, RPL34, RPL39, RPL37, RAN, WDR18, EIF2A, RPL3, DIMT1, RPSA, XRN2, EXOSC6, SBDS, RPL28, RPS8, MPHOSPH10, ZNF622, RPS19"
GO_MATURATION_OF_SSU_RRNA,4.535610209658582e-5,0.020747896925738203,0.6273844790679193,2.092277280926395,11,39,"RRS1, NOP14, KRR1, RCL1, PWP2, NOC4L, UTP18, SRFBP1, WDR3, NOB1, DCAF13, UTP20, NGDN, UTP6, BYSL, HEATR1, EMG1, WDR46, MRPS9, UTP14A, TBL3, NOL11, RPS14, RPS16, RRP36, RPS21, RPS24, FCF1, RPSA, RPS8, MPHOSPH10, RPS19"
GO_TRANSLATIONAL_TERMINATION,5.563406139775016e-5,0.021289785836721222,0.4767394632747504,1.8610322891822257,9,89,"MRPL48, MRPS17, MRPL46, MRPL1, MRPS30, MRPS6, MRPS35, MTRF1L, MRPL12, MRPL47, GSPT2, MRRF, DAP3, MRPL21, MRPL39, MRPL41, ETF1, MRPL2, MRPS18C, MRPL52, MRPL15, MRPL36, MRPS12, MRPS23, GSPT1, MRPS9, MRPL44, MRPL24, MRPL17, MRPL18, MRPL4, MRPS10, MRPS15, MRPS5, MRPS22, MRPL50, MRPL38, GADD45GIP1, MRPL3, MRPL19, MRPL9, MRPL20, MRPS16, AURKAIP1, MRPL37, MRPL55"
