pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
KEGG_RIBOFLAVIN_METABOLISM,3.817376698732631e-5,0.05004580852038479,-0.8774018814843428,-1.930665150875382,1,14,"ACP5, MTMR7, ENPP3, ENPP1, ACPP"
REACTOME_MITOTIC_M_M_G1_PHASES,2.2234574763757643e-4,0.09379853117569074,-0.48898979176550833,-1.6606432403060178,11,158,"KIF20A, CENPA, NUF2, SPC24, KIF2C, CDCA8, E2F1, FBXO5, ORC1, ERCC6L, E2F2, AURKB, NDC80, BUB1B, MCM2, POLA2, MCM4, MCM3, BUB1, DSN1, CENPO, CDC7, CDT1, INCENP, ZWINT, KIF23, GMNN, CENPI, RANGAP1, ORC6, KIF18A, MCM10, PRIM2, MCM7, CENPP, PSMB8, MCM5, MAD2L1, MCM6, BIRC5, B9D2, CDC20, PRIM1, CENPM, RPA2, PSMD9, CDC45, CDK2, CENPK, CENPQ, SKA2, PPP2R5D, PSMD2, PSMD3, PSMD11, PLK1, CDC6, 
NUP107, CENPL, RAD21, CKAP5, DBF4, POLE, KNTC1, CENPN, PSMB9, RPA3, NSL1, CENPT, PSMC1, ZWILCH, BUB3, PSMD6, ITGB3BP, MIS12, PSMA2, NUP37, PSMA4, SKA1"
REACTOME_PLATELET_HOMEOSTASIS,2.2622301819210104e-4,0.09379853117569074,-0.6344906517100378,-1.8265753860040905,11,51,"GNG11, PDE6G, GUCY1A2, NOS2, GNB4, SLC8A2, GNB3, PDE3B, PRKG1, MRVI1, PDE11A, SLC8A1, NOS3"
REACTOME_SIGNAL_AMPLIFICATION,3.042808512256813e-4,0.09379853117569074,-0.7566252468182887,-1.8757260186324503,15,24,"P2RY1, GNG11, GNB4, TBXA2R, GNB3"
REACTOME_IRAK1_RECRUITS_IKK_COMPLEX,3.577365796174323e-4,0.09379853117569074,0.9028088290500064,1.816919332878469,16,9,"TMEM189-UBE2V1, PELI2"
KEGG_RIBOSOME,4.722955711556214e-4,0.10319658229750328,0.5455396013770619,1.7327687731111856,21,86,"RPS4Y1, RPL22L1, RSL24D1, RPS21, RPS28, RPL18A, RPL38, RPL28, RPL37, RPL18, RPL36, RPL37A, RPL9, RPS5, RPS6, RPL41, RPS29, RPS12, RPS20, RPL21, RPL35A, RPS2, RPL13A, RPS16, RPS11, RPS15, RPLP2, RPS19, RPL17, RPL15, RPS13, RPS18, RPL26, RPL8, RPL32, RPS9, RPL27, RPL31, RPL34, RPL30, RPL4, RPS10, RPL35, RPL24, RPL36A, RPL10A, RPL23A, RPL12, RPL13, RPS27A, RPL23, UBA52, RPL10, RPL6, RPS27, 
RPL19, RPS8, RPS3, RPS3A, FAU, RPL5, RPS23, RPS26, RPLP0, RPLP1, RPS25, RPL27A"
REACTOME_CHOLESTEROL_BIOSYNTHESIS,8.580908432172686e-4,0.16070815649397702,-0.7589453220170436,-1.8103929700925445,44,20,"HSD17B7, IDI1, DHCR24, MSMO1, HMGCS1, HMGCR, SQLE, MVK, FDFT1, EBP, LSS, DHCR7, FDPS, NSDHL, MVD"
REACTOME_ADP_SIGNALLING_THROUGH_P2RY1,0.0010683556861323616,0.16424636586399394,-0.7611250412017063,-1.7950930630303754,55,19,"P2RY1, GNG11, GNB4, GNB3"
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION_IN_TLR7_8_OR_9_SIGNALING,0.0011568718186024988,0.16424636586399394,0.9062573895482373,1.7249366024252863,54,7,"TMEM189-UBE2V1, IRAK4"
REACTOME_DNA_REPLICATION,0.0012528326915636457,0.16424636586399394,-0.4451749164303302,-1.5330330011229933,67,178,"KIF20A, CENPA, NUF2, GINS4, SPC24, KIF2C, CDCA8, E2F1, FBXO5, FEN1, ORC1, ERCC6L, E2F2, AURKB, NDC80, BUB1B, MCM2, GINS2, POLA2, MCM4, GINS1, MCM3, BUB1, DSN1, CENPO, CDC7, CDT1, INCENP, CCNA2, PCNA, ZWINT, KIF23, GMNN, CENPI, RANGAP1, ORC6, KIF18A, LIG1, RFC4, MCM10, PRIM2, MCM7, CENPP, PSMB8, MCM5, MAD2L1, MCM6, BIRC5, B9D2, CDC20, PRIM1, CENPM, RFC5, RPA2, PSMD9, CDC45, CDK2, CENPK, 
CENPQ, SKA2, PPP2R5D, PSMD2, PSMD3, PSMD11, PLK1, CDC6, NUP107, CENPL, RAD21, CKAP5, DBF4, POLE, KNTC1, CENPN, PSMB9, RPA3, NSL1, CENPT, RFC2, PSMC1, ZWILCH, BUB3, PSMD6, ITGB3BP, POLD3, MIS12, PSMA2, NUP37, PSMA4, SKA1"
REACTOME_CYTOSOLIC_TRNA_AMINOACYLATION,0.0018557961998355089,0.19378202601497832,0.7105469590011391,1.7859461460335797,87,24,"SARS, MARS, WARS, GARS, CARS, AARS, YARS, AIMP2, IARS, EPRS, LARS, TARS, EEF1E1, FARSB, FARSA, DARS, VARS, NARS, KARS"
BIOCARTA_HER2_PATHWAY,0.0019630264913283783,0.19378202601497832,-0.7351244395793964,-1.7725116039932562,102,21,"ERBB4, GRIP1, ESR1, IL6"
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.0020951681534440675,0.19378202601497832,0.4576235566768315,1.5490100745935331,96,135,"CCR3, INHBE, TPO, TNFSF15, TNFRSF1B, CXCL12, KIT, IL1A, PDGFRB, BMPR1B, TNFSF12, OSMR, IL7R, TNFSF18, CCR2, IL20RB, LIF, IL1R2, IL3RA, TNFRSF11A, VEGFA, CCL24, TNFRSF10D, CSF3R, CXCR2, EDAR, CXCR4, IL2RG, CCR9, IL20RA, ACVR1, TNFSF9, IL18, TNFSF10, CTF1, CXCL1, TNFSF4, IL7, PDGFB, CSF1R, AMH, KITLG, ACVR2B, CXCR6, MET, PRLR, NGFR, IL17RB, TNFRSF1A, TNFRSF6B, CSF2RA, LIFR, TNFRSF11B, TGFB1
"
REACTOME_THROMBOXANE_SIGNALLING_THROUGH_TP_RECEPTOR,0.0021722147062746516,0.19378202601497832,-0.7580188973086083,-1.7442495028915326,113,17,"GNG11, GNB4, TBXA2R, GNB3"
REACTOME_MITOTIC_PROMETAPHASE,0.0023454797913461177,0.19378202601497832,-0.5250558611587729,-1.6213013435225159,124,78,"CENPA, NUF2, SPC24, KIF2C, CDCA8, ERCC6L, AURKB, NDC80, BUB1B, BUB1, DSN1, CENPO, INCENP, ZWINT, CENPI, RANGAP1, KIF18A, CENPP, MAD2L1, BIRC5, B9D2, CDC20, CENPM, CENPK, CENPQ, SKA2, PPP2R5D, PLK1, NUP107, CENPL, RAD21, CKAP5, KNTC1, CENPN, NSL1, CENPT, ZWILCH, BUB3, ITGB3BP, MIS12, NUP37, SKA1"
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.002364998029168309,0.19378202601497832,-0.5372429621298416,-1.6345223141249945,125,71,"MAP2K6, CXCL10, TLR5, CD40, LY96, IL12A, PIK3R5, PIK3CD, CD14, CTSK, IL6, MAPK11, IRF7"
KEGG_SELENOAMINO_ACID_METABOLISM,0.003231393089465236,0.24919743178170145,0.6862838898069283,1.7391032268077058,152,25,"MAT1A, CBS, GGT5, MARS, GGT6, CTH, GGT7, MAT2A, METTL6, MARS2, LCMT2, TRMT11"
REACTOME_TRANSMEMBRANE_TRANSPORT_OF_SMALL_MOLECULES,0.003672679246648454,0.2674934717975624,-0.38218409518253565,-1.3872569615125012,202,297,"SLC16A10, SLC47A2, GNG11, SLC1A2, SLC6A15, SLC6A11, ATP6V1G2, ATP1A4, ABCC8, SLC1A1, SLC44A4, ATP12A, SLC4A8, GLRB, GNB4, RHCG, ATP10A, AQP1, SLC24A3, SLC1A6, SLC15A2, SLC3A1, SLC7A7, SLC8A2, PRKAR2B, SLCO1A2, SLC11A1, SLC38A3, ATP8B4, GNB3, SLC30A3, SLC24A2, SLC44A3, SLC4A5, SLCO4C1, SLC28A1, GABRB3, SLC15A1, SLC9A5, SLC7A8, SLCO2A1, SLC16A7, SLC22A3, SLC9A3, ATP1A3, NUP210, GABRA5, SLC5A3, SLC13A3, 
SLC26A3"
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION,0.004270382648761027,0.2946564027645109,-0.4843206221331071,-1.546266653577201,227,98,"GATA5, HIST2H3D, HBE1, PRKAR2B, ZFPM2, GATA6, KIF4B, MYB, KIF20A, KIF3C, KIFC1, KIF15, DOCK3, KIF2C, SH2B2, IRF7, HIST1H3D, KIF11, SH2B1, RACGAP1, PRKACA, KIF23, CDK5, EHD1, KIF18A"
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR,0.004849271654670765,0.2978209078676818,-0.7778122500797293,-1.682049691455543,253,13,"GNG11, GNB4, GNB3"
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,0.004924415941365094,0.2978209078676818,-0.764935680008164,-1.6831906691999485,257,14,"HMGCS2, IDI1, HMGCS1, HMGCR, MVK, ACAT2, FDPS, MVD"
PID_CMYB_PATHWAY,0.004997757416543859,0.2978209078676818,0.5288780275291642,1.609416202232895,233,66,"CEBPA, CDKN2A, CCNA1, KIT, CD4, CEBPB, PTGS2, PRTN3, CBX4, CDK6, MAT2A, CSF1R, KITLG, KRAS, ATP2B1, LEF1, MYC"
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA,0.005393558223746903,0.3074328187535734,-0.7244523845409422,-1.6875231115924827,282,18,"GNG11, GNB4, PIK3R5, GNB3"
REACTOME_ADP_SIGNALLING_THROUGH_P2RY12,0.006368819480197548,0.3373087494273935,-0.7466450720086435,-1.6692833638022928,333,15,"GNG11, GNB4, GNB3"
PID_ANTHRAX_PATHWAY,0.006432279737364483,0.3373087494273935,-0.7573582274008002,-1.666516982956311,336,14,"MAP2K6, ANTXR2, CASP1, ANTXR1"
